Z,A,Nuclide,nu_delayed,nu_delayed_unc
89,224,Ac-224,4.058709e-03,5.159728e-04
89,225,Ac-225,9.482006e-03,1.345085e-03
89,226,Ac-226,1.199746e-02,9.757271e-04
89,227,Ac-227,2.371445e-02,3.500980e-03
89,228,Ac-228,3.107256e-02,3.309860e-03
89,229,Ac-229,5.063549e-02,2.454281e-03
89,230,Ac-230,6.296515e-02,5.633960e-03
89,231,Ac-231,9.247403e-02,6.050439e-03
90,225,Th-225,6.117771e-04,1.162798e-04
90,226,Th-226,1.395882e-03,2.091930e-04
90,227,Th-227,2.380681e-03,2.906999e-04
90,228,Th-228,4.545014e-03,4.658756e-04
90,229,Th-229,7.489562e-03,6.877934e-04
90,230,Th-230,1.217956e-02,9.667565e-04
90,231,Th-231,2.019704e-02,9.497558e-04
90,232,Th-232,2.838910e-02,1.893069e-03
90,233,Th-233,4.044508e-02,2.533487e-03
90,234,Th-234,5.524696e-02,4.008100e-03
90,235,Th-235,5.729913e-02,2.833237e-03
91,226,Pa-226,6.349579e-04,8.782352e-05
91,227,Pa-227,1.452585e-03,1.859714e-04
91,228,Pa-228,2.648075e-03,2.822388e-04
91,229,Pa-229,4.877248e-03,6.171691e-04
91,230,Pa-230,7.474137e-03,9.200787e-04
91,231,Pa-231,1.230127e-02,7.563223e-04
91,232,Pa-232,1.811208e-02,1.317672e-03
91,233,Pa-233,2.756191e-02,1.139608e-03
91,234,Pa-234,3.785906e-02,3.024222e-03
91,235,Pa-235,5.175500e-02,4.484962e-03
91,236,Pa-236,6.408432e-02,4.400744e-03
91,237,Pa-237,8.522544e-02,4.471657e-03
91,238,Pa-238,1.013398e-01,5.369274e-03
92,230,U-230,1.086159e-03,3.152404e-04
92,231,U-231,1.853012e-03,2.815672e-04
92,232,U-232,3.060034e-03,4.410218e-04
92,233,U-233,4.783811e-03,5.394152e-04
92,234,U-234,7.165323e-03,8.402282e-04
92,235,U-235,1.063357e-02,8.372132e-04
92,236,U-236,1.608175e-02,1.456692e-03
92,237,U-237,2.232768e-02,1.245983e-03
92,238,U-238,3.174647e-02,2.515051e-03
92,239,U-239,4.314736e-02,3.008734e-03
92,240,U-240,6.007806e-02,2.689841e-03
93,231,Np-231,5.509431e-04,6.726788e-05
93,232,Np-232,1.007860e-03,1.308959e-04
93,233,Np-233,1.746616e-03,2.507128e-04
93,234,Np-234,2.819684e-03,3.012547e-04
93,235,Np-235,4.397386e-03,5.510930e-04
93,236,Np-236,6.810381e-03,4.096632e-04
93,237,Np-237,1.016547e-02,1.239400e-03
